"﻿Generated by WizTree 4.15 10/18/2023 12:50:48 PM (You can hide this message by making a donation)"
"File Name","Size","Allocated","Modified","Attributes","Files","Folders"
"C:\Users\l\Documents\Clean Desktop\Starfield.Digital.Premium.Edition-InsaneRamZes\Data\video\ArtifactVision08.bk2","28804004","28807168","2023/09/04 08:43:08","262176","0","0"
"C:\Users\l\Documents\Clean Desktop\Starfield.Digital.Premium.Edition-InsaneRamZes\Data\video\ArtifactVision01.bk2","28801684","28803072","2023/09/04 12:52:54","262176","0","0"
"C:\Users\l\Documents\Clean Desktop\Starfield.Digital.Premium.Edition-InsaneRamZes\Data\video\ArtifactVision02.bk2","28800936","28803072","2023/09/04 17:37:29","262176","0","0"
"C:\Users\l\Documents\Clean Desktop\Starfield.Digital.Premium.Edition-InsaneRamZes\Data\video\ArtifactVision09.bk2","28800740","28803072","2023/09/04 16:23:51","262176","0","0"
"C:\Users\l\Documents\Clean Desktop\Starfield.Digital.Premium.Edition-InsaneRamZes\Data\video\ArtifactVision04.bk2","28800400","28803072","2023/09/04 02:51:21","262176","0","0"
"C:\Users\l\Documents\Clean Desktop\Starfield.Digital.Premium.Edition-InsaneRamZes\Data\video\ArtifactVision05.bk2","28799412","28803072","2023/09/04 16:46:11","262176","0","0"
"C:\Users\l\Documents\Clean Desktop\Starfield.Digital.Premium.Edition-InsaneRamZes\Data\video\PowerVision_PhasedTime.bk2","27659796","27660288","2023/09/04 15:43:41","262176","0","0"
"C:\Users\l\Documents\Clean Desktop\Starfield.Digital.Premium.Edition-InsaneRamZes\Data\video\PowerVision_GravDash.bk2","27659352","27660288","2023/09/04 13:32:18","262176","0","0"
"C:\Users\l\Documents\Clean Desktop\Starfield.Digital.Premium.Edition-InsaneRamZes\Data\video\PowerVision_SunlessSpace.bk2","27658872","27660288","2023/09/04 03:52:10","262176","0","0"
"C:\Users\l\Documents\Clean Desktop\Starfield.Digital.Premium.Edition-InsaneRamZes\Data\video\PowerVision_ParallelSelf.bk2","27658868","27660288","2023/09/04 14:16:45","262176","0","0"
"C:\Users\l\Documents\Clean Desktop\Starfield.Digital.Premium.Edition-InsaneRamZes\Data\video\PowerVision_Precognition.bk2","27658796","27660288","2023/09/04 03:00:01","262176","0","0"
"C:\Users\l\Documents\Clean Desktop\Starfield.Digital.Premium.Edition-InsaneRamZes\Data\video\PowerVision_ReactiveShield.bk2","27658680","27660288","2023/09/04 13:53:16","262176","0","0"
"C:\Users\l\Documents\Clean Desktop\Starfield.Digital.Premium.Edition-InsaneRamZes\Data\video\PowerVision_Supernova.bk2","27658592","27660288","2023/09/04 15:21:46","262176","0","0"
"C:\Users\l\Documents\Clean Desktop\Starfield.Digital.Premium.Edition-InsaneRamZes\Data\video\PowerVision_PersonalAtmosphere.bk2","27658568","27660288","2023/09/04 11:05:32","262176","0","0"
"C:\Users\l\Documents\Clean Desktop\Starfield.Digital.Premium.Edition-InsaneRamZes\Data\video\PowerVision_LifeForced.bk2","27658540","27660288","2023/09/04 14:36:57","262176","0","0"
"C:\Users\l\Documents\Clean Desktop\Starfield.Digital.Premium.Edition-InsaneRamZes\Data\video\PowerVision_MoonForm.bk2","27658536","27660288","2023/09/04 03:06:46","262176","0","0"
"C:\Users\l\Documents\Clean Desktop\Starfield.Digital.Premium.Edition-InsaneRamZes\Data\video\PowerVision_Eternal.bk2","27658532","27660288","2023/09/04 02:41:42","262176","0","0"
